english	source_no	source_word	mode
monk	100006	month	Listening
monk	100012	monkey	Listening
When is your bus coming?	100021	When is your birthday?	Listening
What is your brother's name?	100021	When is your birthday?	Listening
How are you feeling?	100022	How are you doing?	Listening
How have you been?	100022	How are you doing?	Listening
How are you today?	100022	How are you doing?	Listening
How are you today?	100025	Where are you from?	Listening
How are you today?	200031	How is everything?	Listening
What are you reading?	100023	What are you doing?	Listening
What are you reading?	200029	What are you looking for?	Listening
What are you making?	100023	What are you doing?	Listening
Why are you waiting?	100023	What are you doing?	Listening
Who are you?	100024	How are you?	Listening
Who are you?	100028	How about you?	Listening
Who are you?	200028	How are you?	Listening
How was your day?	100024	How are you?	Listening
How do you get to school?	100026	How do you go to school?	Listening
When do you go to school?	100026	How do you go to school?	Listening
Where do you go after school?	100026	How do you go to school?	Listening
Why do you go to school?	100026	How do you go to school?	Listening
How was the weather yesterday?	100027	How is the weather today?	Listening
How is the weather there?	100027	How is the weather today?	Listening
Is it sunny today?	100027	How is the weather today?	Listening
What's the weather like today?	100027	How is the weather today?	Synonym
What about you?	100028	How about you?	Listening
What about you?	100028	How about you?	Synonym
Can you tell me?	100029	Can you help me?	Listening
Can you join me?	100029	Can you help me?	Listening
Can you hear me?	100029	Can you help me?	Listening
Can you save me?	100029	Can you help me?	Listening
Are you awake?	100030	Are you all right?	Listening
Are you alone?	100030	Are you all right?	Listening
wine	100038	why	Listening
wine	200378	wife	Listening
wine	300164	wide	Listening
wine	300263	while	Listening
wine	300402	wise	Listening
bride	100043	bread	Listening
bride	100426	bright	Listening
bride	300337	bright	Listening
pine	100044	pie	Listening
pipe	100044	pie	Listening
tie	100044	pie	Listening
tie	100282	time	Listening
tie	300417	type	Listening
handball	100046	baseball	Listening
cocoa	100061	cola	Listening
comma	100061	cola	Listening
kite	100062	sky	Listening
kite	100313	kind	Listening
kite	301003	quite	Listening
spy	100062	sky	Listening
note	100068	nose	Listening
note	100097	north	Listening
note	100349	notebook	Listening
note	200643	boat	Listening
note	200803	no	Listening
note	300458	message	Synonym
jungle	100072	uncle	Listening
jungle	200690	junior	Listening
jungle	300020	junior high school	Listening
jungle	300513	journey	Listening
jungle	300667	single	Listening
jungle	300875	gentle	Listening
hut	100073	house	Listening
hut	100207	hat	Listening
hut	100213	hot	Listening
blink	100075	bring	Listening
blink	200473	bring	Listening
brick	100075	bring	Listening
brick	100090	black	Listening
brick	200473	bring	Listening
brick	200645	break	Listening
teacup	100076	T-shirt	Listening
teacup	100361	teacher	Listening
teacup	200384	teammate	Listening
teacup	200501	teacher	Listening
cushion	100078	cousin	Listening
cushion	300130	question	Listening
cushion	300724	cashier	Listening
make dirty	100082	wash	Antonym
led	100088	red	Listening
led	100255	leg	Listening
gray	100089	green	Listening
gray	100536	great	Listening
gray	200239	grow	Listening
gray	200785	crayon	Listening
gray	300216	grade	Listening
gray	300350	grow	Listening
go in	100094	come in	Listening
met	100095	meet	Listening
met	200485	meet	Listening
met	200767	yet	Listening
met	300439	melt	Listening
mint	100095	meet	Listening
mint	100159	meat	Listening
