lookup_key	english	normalized_english	japanese	quiz_mode	source_word_id	note
be exhausted from_COMMON_0	be exhausted from	be exhausted from	～で疲れ果てている			
be afraid of_COMMON_0	be afraid of	be afraid of	～を恐れている			
be interested in_COMMON_0	be interested in	be interested in	～に興味がある			
be good at_COMMON_0	be good at	be good at	～が得意だ			
look forward to_COMMON_0	look forward to	look forward to	～を楽しみに待つ			
at once_COMMON_0	at once	at once	すぐに			
for example_COMMON_0	for example	for example	例えば			
by myself_COMMON_0	by myself	by myself	自分で			
above_COMMON_0	above	above	～の上に			
below_COMMON_0	below	below	～の下に			
ignore_COMMON_0	ignore	ignore	～を無視する			
reject_COMMON_0	reject	reject	～を拒絶する			
calm_COMMON_0	calm	calm	穏やかな			
quiz_COMMON_0	quiz	quiz	小テスト			
a after b_COMMON_0	A after B	a after b	AのあとでB			
a before b_COMMON_0	A before B	a before b	Aの前にB			
a big room._COMMON_0	A big room.	a big room.	大きな部屋ですね			
a bottle of ~_COMMON_0	a bottle of ~	a bottle of ~	ボトル1本の～			
a box of ~_COMMON_0	a box of ~	a box of ~	一箱の～			
a can of ~_COMMON_0	a can of ~	a can of ~	一缶の～			
a fast train._COMMON_0	A fast train.	a fast train.	速い電車ですね			
a little ~_COMMON_0	a little ~	a little ~	少しの			
a little expensive._COMMON_0	A little expensive.	a little expensive.	少し高い			
a long vacation._COMMON_0	A long vacation.	a long vacation.	長い休みですね			
a piece of ~_COMMON_0	a piece of ~	a piece of ~	一切れの～			
a plate of ~_COMMON_0	a plate of ~	a plate of ~	一皿の～			
about ~_COMMON_0	about ~	about ~	～ごろ			
above ~_COMMON_0	above ~	above ~	～の上に			
add a to b_COMMON_0	add A to B	add a to b	AとBを足す			
adults_COMMON_0	adults	adults	大人たち			
african_COMMON_0	African	african	アフリカの			
after_COMMON_0	after	after	～のあとに			
after lunch_COMMON_0	after lunch	after lunch	昼食後に			
after that_COMMON_0	after that	after that	そのあとで			
agree_COMMON_0	agree	agree	同意する			
all ~_COMMON_0	all ~	all ~	すべての～			
all night_COMMON_0	all night	all night	一晩中			
all of ~_COMMON_0	all of ~	all of ~	全部			
all week_COMMON_0	all week	all week	一週間中			
ally_COMMON_0	ally	ally	味方			
almost_COMMON_0	almost	almost	まったく			
although ~_COMMON_0	although ~	although ~	～だけれども			
am_COMMON_0	am	am	〜している			
anger_COMMON_0	anger	anger	怒り			
ankle_COMMON_0	ankle	ankle	足首			
answer ~_COMMON_0	answer ~	answer ~	～に答える			
answer the phone_COMMON_0	answer the phone	answer the phone	電話に出る			
ant_COMMON_0	ant	ant	あり			
apologize_COMMON_0	apologize	apologize	謝る			
apple juice_COMMON_0	apple juice	apple juice	りんごジュース			
are we ~?_COMMON_0	Are we ~?	are we ~?	〜していますか			
are you fine?_COMMON_0	Are you fine?	are you fine?	元気ですか			
are you going to the station?_COMMON_0	Are you going to the station?	are you going to the station?	駅に行きますか			
are you happy?_COMMON_0	Are you happy?	are you happy?	元気ですか			
are you okay?_COMMON_0	Are you okay?	are you okay?	大丈夫ですか			
are you ready?_COMMON_0	Are you ready?	are you ready?	準備はいいですか			
are you sleepy?_COMMON_0	Are you sleepy?	are you sleepy?	眠いですか			
arm_COMMON_0	arm	arm	腕			
around the town_COMMON_0	around the town	around the town	町中で			
as ... as_COMMON_0	as ... as	as ... as	～と同じくらい			
asian_COMMON_0	Asian	asian	アジアの			
ask ~_COMMON_0	ask ~	ask ~	～を質問する			
ask a_COMMON_0	ask A	ask a	Aをたずねる			
ask a about b_COMMON_0	ask A about B	ask a about b	AにBを尋ねる			
ask a question_COMMON_0	ask a question	ask a question	質問する			
ask a to do_COMMON_0	ask A to do	ask a to do	Aに～するよう頼む			
ask the way_COMMON_0	ask the way	ask the way	道をたずねる			
at a store_COMMON_0	at a store	at a store	店で			
at lunch_COMMON_0	at lunch	at lunch	昼休みに			
at night_COMMON_0	at night	at night	夜に			
at noon_COMMON_0	at noon	at noon	正午に			
at the beginning of ~_COMMON_0	at the beginning of ~	at the beginning of ~	〜の初めに			
at the library_COMMON_0	at the library	at the library	図書館で			
at the park_COMMON_0	at the park	at the park	公園で			
at the store_COMMON_0	at the store	at the store	店で			
attack a with b_COMMON_0	attack A with B	attack a with b	AをBで攻撃する			
b after a_COMMON_0	B after A	b after a	AのあとでB			
b before a_COMMON_0	B before A	b before a	Aの前にB			
b during a_COMMON_0	B during A	b during a	Aの間にB			
b for a_COMMON_0	B for A	b for a	AのためにB			
babies_COMMON_0	babies	babies	赤ちゃんたち			
balloon_COMMON_0	balloon	balloon	風船			
basketball game_COMMON_0	basketball game	basketball game	バスケットボールの試合			
be absent from_COMMON_0	be absent from	be absent from	〜を休む			
be boring_COMMON_0	be boring	be boring	おもしろくない			
be busy_COMMON_0	be busy	be busy	たいへんな			
be careful_COMMON_0	be careful	be careful	気をつけて			
