no	grade	word	meaning	definition	example	exampleMeaning	partOfSpeech	difficulty	frequency	choicesEnJa	choicesJaEn	choicesListening	synonyms	antonyms
300001	3	No, thank you. I'm full.	いいえ、けっこうです。おなかいっぱいです。	a polite way to refuse more food	No, thank you. I'm full.	いいえ、けっこうです。おなかいっぱいです。	sentence	3	3	"[""いいえ、けっこうです。おなかいっぱいです。"",""はい、お願いします。"",""おなかがすいています。"",""もう少しください。"",""とてもおいしいです。""]"	"[""No, thank you. I'm full."",""Yes, please."",""I'm hungry."",""More, please."",""It's very good.""]"	"[""No, thank you. I'm full."",""No, thank you. I'm fine."",""No, thank you. I'm busy."",""No, thank you. I'm sick."",""No, thank you. I'm cold.""]"	[]	[]
300002	3	You're welcome.	どういたしまして	a polite reply after thanks	You're welcome.	どういたしまして。	sentence	2	5	"[""どういたしまして"",""ありがとうございます。"",""すみません。"",""こんにちは。"",""さようなら。""]"	"[""You're welcome."",""Thank you."",""I am sorry."",""Hello."",""Goodbye.""]"	"[""You're welcome."",""You are very kind."",""Your bag is open."",""We are ready."",""You look happy.""]"	[]	[]
300003	3	have a good time	楽しく過ごす	to enjoy yourself	We have a good time at the park.	私たちは公園で楽しく過ごします。	verb phrase	3	3	"[""楽しく過ごす"",""急ぐ"",""手伝う"",""待つ"",""休む""]"	"[""have a good time"",""hurry"",""help"",""wait"",""rest""]"	"[""have a good time"",""have a nice day"",""have a big bag"",""have a long walk"",""have a good trip""]"	"[{""word"":""enjoy oneself"",""note"":""やや書き言葉で使う""}]"	[]
300004	3	airport	空港	a place where planes take off and land	My father is at the airport now.	私の父は今空港にいます。	noun	2	3	"[""空港"",""駅"",""港"",""公園"",""図書館""]"	"[""airport"",""station"",""port"",""park"",""library""]"	"[""airport"",""airplane"",""report"",""sport"",""import""]"	[]	[]
300005	3	difficult	難しい	not easy to do or understand	This math question is difficult.	この数学の問題は難しいです。	adjective	2	4	"[""難しい"",""やさしい"",""新しい"",""速い"",""高い""]"	"[""difficult"",""easy"",""new"",""fast"",""high""]"	"[""difficult"",""different"",""digital"",""careful"",""beautiful""]"	"[{""word"":""hard"",""note"":""より基本的な言い方""}]"	"[{""word"":""easy"",""note"":""反対の意味""}]"
300006	3	main	主な	most important	This is the main road to the station.	これは駅へ行く主な道です。	adjective	3	3	"[""主な"",""最後の"",""人気のある"",""有名な"",""特別な""]"	"[""main"",""final"",""popular"",""famous"",""special""]"	"[""main"",""man"",""mail"",""made"",""name""]"	"[{""word"":""chief"",""note"":""ややかたいが「主な」""}]"	"[{""word"":""minor"",""note"":""「重要でない」""}]"
300007	3	final	最後の	coming at the end	This is the final game of the season.	これはそのシーズン最後の試合です。	adjective	3	3	"[""最後の"",""主な"",""早い"",""短い"",""新しい""]"	"[""final"",""main"",""early"",""short"",""new""]"	"[""final"",""vinyl"",""finder"",""title"",""rival""]"	"[{""word"":""last"",""note"":""いちばん基本的な類義語""}]"	"[{""word"":""first"",""note"":""順番が最初""}]"
300008	3	favorite	いちばん好きな、お気に入りの	liked more than all others	This is my favorite song.	これは私のお気に入りの歌です。	adjective	3	3	"[""いちばん好きな、お気に入りの"",""有名な"",""主な"",""最後の"",""静かな""]"	"[""favorite"",""famous"",""main"",""final"",""quiet""]"	"[""favorite"",""fever"",""forest"",""fifteen"",""camera""]"	"[{""word"":""best-loved"",""note"":""やや説明的だが「いちばん好きな」""}]"	"[{""word"":""least favorite"",""note"":""いちばん好きではない""}]"
300009	3	different	異なる、違う	not the same	My bag is different from yours.	私のかばんはあなたのものと違います。	adjective	3	4	"[""異なる、違う"",""同じ"",""新しい"",""大きい"",""有名な""]"	"[""different"",""same"",""new"",""large"",""popular""]"	"[""different"",""difficult"",""distance"",""dictionary"",""delicate""]"	[]	"[{""word"":""same"",""note"":""「同じ」""}]"
300010	3	popular	人気のある	liked by many people	This singer is popular in Japan.	この歌手は日本で人気があります。	adjective	3	4	"[""人気のある"",""有名な"",""親切な"",""静かな"",""忙しい""]"	"[""popular"",""famous"",""kind"",""quiet"",""busy""]"	"[""popular"",""possible"",""powerful"",""proper"",""polite""]"	"[{""word"":""well-liked"",""note"":""多くの人に好かれている""}]"	"[{""word"":""unpopular"",""note"":""「人気がない」""}]"
300011	3	useful	役に立つ	helpful for a particular purpose	This book is useful for studying English.	この本は英語の勉強に役立ちます。	adjective	3	4	"[""役に立つ"",""危険な"",""簡単な"",""重い"",""正しい""]"	"[""useful"",""dangerous"",""easy"",""heavy"",""right""]"	"[""useful"",""usual"",""user"",""youthful"",""beautiful""]"	"[{""word"":""helpful"",""note"":""人や物が助けになるときに使う""}]"	"[{""word"":""useless"",""note"":""「役に立たない」""}]"
300012	3	ours	私たちのもの	belonging to us	This classroom is ours.	この教室は私たちのものです。	pronoun	2	3	"[""私たちのもの"",""あなたたちのもの"",""彼らのもの"",""彼女のもの"",""彼のもの""]"	"[""ours"",""yours"",""theirs"",""hers"",""his""]"	"[""ours"",""yours"",""theirs"",""hers"",""owners""]"	[]	[]
300013	3	That's right.	そのとおり	used to say something is correct	That's right, Ken is in Class 2.	そのとおり、ケンは2組です。	sentence	2	4	"[""そのとおり"",""わかりません"",""気をつけて"",""もう一度"",""急いで""]"	"[""That's right."",""I don't know."",""Be careful."",""Once more."",""Hurry up.""]"	"[""That's right."",""That's nice."",""That's fine."",""That's all."",""That's mine.""]"	"[{""word"":""That's correct."",""note"":""ほぼ同じ意味の言い方""}]"	[]
300014	3	Good idea!	いい考えだね	used to praise a suggestion	Good idea! Let us go by bus.	いい考えだね。バスで行きましょう。	expression	2	4	"[""いい考えだね"",""よい天気ですね"",""大きな部屋ですね"",""長い休みですね"",""速い電車ですね""]"	"[""Good idea!"",""Nice weather!"",""A big room."",""A long vacation."",""A fast train.""]"	"[""Good idea!"",""Good evening."",""Good teacher."",""Good player."",""Good morning.""]"	"[{""word"":""nice idea"",""note"":""ほぼ同じ意味""}]"	[]
300015	3	listen	聞く	to pay attention to sounds	Please listen to the teacher.	先生の話を聞いてください。	verb	2	4	"[""聞く"",""話す"",""見る"",""読む"",""書く""]"	"[""listen"",""speak"",""watch"",""read"",""write""]"	"[""listen"",""lesson"",""list"",""written"",""little""]"	[]	[]
300016	3	Thailand	タイ	a country in Asia	My uncle lives in Thailand.	私のおじはタイに住んでいます。	noun	2	2	"[""タイ"",""中国"",""インド"",""韓国"",""日本""]"	"[""Thailand"",""China"",""India"",""Korea"",""Japan""]"	"[""Thailand"",""island"",""highland"",""Thai"",""tight""]"	[]	[]
300017	3	fourteen	14	the number after thirteen	I have fourteen pencils.	私は14本のえんぴつを持っています。	number	1	3	"[""14"",""13"",""15"",""16"",""17""]"	"[""fourteen"",""thirteen"",""fifteen"",""sixteen"",""seventeen""]"	"[""fourteen"",""forty"",""thirteen"",""fifteen"",""fourth""]"	[]	[]
300018	3	lots of ~	たくさんの～	a large number or amount of something	We have lots of homework today.	私たちは今日、たくさんの宿題があります。	determiner	2	4	"[""たくさんの～"",""少しの～"",""いくつかの～"",""すべての～"",""ほとんどない～""]"	"[""lots of ~"",""a few ~"",""some ~"",""all ~"",""few ~""]"	"[""lots of ~"",""a lot of ~"",""a kind of ~"",""a pair of ~"",""a cup of ~""]"	"[{""word"":""a lot of ~"",""note"":""ほぼ同じ意味""}]"	[]
300019	3	university	大学	a school for higher education	My sister goes to a university in Tokyo.	私の姉は東京の大学に通っています。	noun	3	3	"[""大学"",""高校"",""中学校"",""図書館"",""教室""]"	"[""university"",""high school"",""junior high school"",""library"",""classroom""]"	"[""university"",""uniform"",""usual"",""unique"",""unit""]"	"[{""word"":""college"",""note"":""米語では大学の意味でも使う""}]"	[]
300020	3	junior high school	中学校	a school for students aged twelve to fifteen	My brother goes to junior high school.	私の弟は中学校に通っています。	noun	3	3	"[""中学校"",""小学校"",""高校"",""大学"",""幼稚園""]"	"[""junior high school"",""elementary school"",""high school"",""university"",""kindergarten""]"	"[""junior high school"",""junior"",""January"",""jungle"",""general""]"	[]	[]
300021	3	Shall we ~?	〜しませんか	used to suggest doing something together	Shall we play tennis after school?	放課後にテニスをしませんか。	expression	2	3	"[""〜しませんか"",""〜できますか"",""〜しなければなりませんか"",""〜していますか"",""〜したいですか""]"	"[""Shall we ~?"",""Can we ~?"",""Must we ~?"",""Are we ~?"",""Do we want to ~?""]"	"[""Shall we ~?"",""Can we ~?"",""Should we ~?"",""Will we ~?"",""Shall I ~?""]"	[]	[]
300022	3	stand up	立ち上がる	to rise to your feet	Please stand up when the teacher comes in.	先生が入ってきたら立ち上がってください。	phrasal verb	1	4	"[""立ち上がる"",""座る"",""歩く"",""走る"",""止まる""]"	"[""stand up"",""sit down"",""walk"",""run"",""stop""]"	"[""stand up"",""stamp"",""start"",""stay"",""step""]"	[]	"[{""word"":""sit down"",""note"":""反対の動作""}]"
