"Name","Count"
"open","68"
"promise","64"
"inside","32"
"choose ~","29"
"carry ~","22"
"help ~","21"
"visit ~","20"
"before","20"
"painter","19"
"invite","19"
"leave ~","18"
"near ~","17"
"after","15"
"noon","14"
"arm","14"
"please.","14"
"order","14"
"collect ~","13"
"candle","13"
"sock","13"
"behind ~","13"
"explain ~","12"
"we","12"
"Thank you.","11"
"Be careful.","11"
"invite ~","11"
"gloves","11"
"protect","10"
"goat","10"
"Take care.","10"
"under ~","10"
"shoe","10"
"return to ~","10"
"call ~","10"
"net","9"
"enter","9"
"open ~","9"
"Hurry up.","9"
"Goodbye.","9"
"guide","9"
"find ~","9"
"wish","9"
"forty","9"
"contact","8"
"past","8"
"fill","8"
"cooking","8"
"cheerful","8"
"Good morning.","8"
"frog","8"
"anger","7"
"start ~","7"
"flag","7"
"every week","7"
"Hello.","7"
"campus","7"
"What time is it?","7"
"How old are you?","7"
"keep doing","7"
"Where are you going?","6"
"crab","6"
"plan to do","6"
"at the store","6"
"lemon","6"
"send A to B","6"
"speed","6"
"ask A about B","6"
"glow","6"
"jungle","6"
"around ~","6"
"with ~","6"
"note","6"
"go swimming","6"
"text","6"
"heat","6"
"sheet","6"
"by bike","6"
"gray","6"
"agree","6"
"send A B","6"
"forgive","6"
"I don't know.","6"
"practice ~","6"
"forget to do","6"
"compare ~","6"
"company","6"
"violet","6"
"pass ~","6"
"Korea","5"
"lightly","5"
"give up ~","5"
"walk around","5"
"crown","5"
"bee","5"
"every month","5"
"liter","5"
"cabin","5"
"Where do you live?","5"
"meet ~","5"
"want to","5"
