"english","sourceNo","sourceWord","mode"
"we","100002","he","ChoicesJaEn"
"we","100002","he","Listening"
"bee","100002","he","Listening"
"sumo","100003","some","Listening"
"we","100004","she","ChoicesJaEn"
"we","100004","she","Listening"
"shoe","100004","she","Listening"
"want to","100005","can","ChoicesJaEn"
"came","100005","can","Listening"
"monk","100006","month","Listening"
"in front of","100007","over","ChoicesJaEn"
"open","100007","over","Listening"
"order","100007","over","Listening"
"women","100008","woman","Listening"
"men","100009","man","Listening"
"mat","100009","man","Listening"
"ant","100011","and","Listening"
"donkey","100012","monkey","Listening"
"monk","100012","monkey","Listening"
"wish","100014","fish","Listening"
"awesome","100016","autumn","Listening"
"arm","100017","shoulder","ChoicesJaEn"
"holder","100017","shoulder","Listening"
"I'm sleepy","100018","I'm sorry","Listening"
"I'm hungry","100018","I'm sorry","Listening"
"I'm ready","100018","I'm sorry","Listening"
"I'm happy","100018","I'm sorry","Listening"
"be on time for","100019","be late for","ChoicesJaEn"
"be absent from","100019","be late for","ChoicesJaEn"
"be ready for","100019","be late for","Listening"
"be kind to","100019","be late for","Listening"
"be from","100019","be late for","Listening"
"be on time for","100019","be late for","Antonym"
"Are you fine?","100020","Are you busy?","ChoicesJaEn"
"Are you sleepy?","100020","Are you busy?","ChoicesJaEn"
"Are you okay?","100020","Are you busy?","ChoicesJaEn"
"Are you ready?","100020","Are you busy?","ChoicesJaEn"
"Are you ready?","100020","Are you busy?","Listening"
"Are you happy?","100020","Are you busy?","Listening"
"Are you sleepy?","100020","Are you busy?","Listening"
"Are you hungry?","100020","Are you busy?","Listening"
"How old are you?","100021","When is your birthday?","ChoicesJaEn"
"What is the date today?","100021","When is your birthday?","ChoicesJaEn"
"What day is it today?","100021","When is your birthday?","ChoicesJaEn"
"What time is it now?","100021","When is your birthday?","ChoicesJaEn"
"Where is your notebook?","100021","When is your birthday?","Listening"
"What is your favorite day?","100021","When is your birthday?","Listening"
"When is your bus coming?","100021","When is your birthday?","Listening"
"What is your brother's name?","100021","When is your birthday?","Listening"
"What's your name?","100022","How are you doing?","ChoicesJaEn"
"How old are you?","100022","How are you doing?","ChoicesJaEn"
"Where do you live?","100022","How are you doing?","ChoicesJaEn"
"What time is it?","100022","How are you doing?","ChoicesJaEn"
"How are you feeling?","100022","How are you doing?","Listening"
"How have you been?","100022","How are you doing?","Listening"
"How are you today?","100022","How are you doing?","Listening"
"Where are you going?","100023","What are you doing?","ChoicesJaEn"
"What are you eating?","100023","What are you doing?","ChoicesJaEn"
"Who are you talking to?","100023","What are you doing?","ChoicesJaEn"
"When are you coming?","100023","What are you doing?","ChoicesJaEn"
"What are you reading?","100023","What are you doing?","Listening"
"What are you making?","100023","What are you doing?","Listening"
"Where are you going?","100023","What are you doing?","Listening"
"Why are you waiting?","100023","What are you doing?","Listening"
"What is your name?","100024","How are you?","ChoicesJaEn"
"Where do you live?","100024","How are you?","ChoicesJaEn"
"How old are you?","100024","How are you?","ChoicesJaEn"
"See you again.","100024","How are you?","ChoicesJaEn"
"Who are you?","100024","How are you?","Listening"
"How old are you?","100024","How are you?","Listening"
"How was your day?","100024","How are you?","Listening"
"Where are you?","100024","How are you?","Listening"
"How old are you?","100025","Where are you from?","ChoicesJaEn"
"Where are you going?","100025","Where are you from?","ChoicesJaEn"
"Where do you live?","100025","Where are you from?","Listening"
"Where are you going?","100025","Where are you from?","Listening"
"How are you today?","100025","Where are you from?","Listening"
"What time do you go to school?","100026","How do you go to school?","ChoicesJaEn"
"Who do you go to school with?","100026","How do you go to school?","ChoicesJaEn"
"Where is your school?","100026","How do you go to school?","ChoicesJaEn"
"Do you like school?","100026","How do you go to school?","ChoicesJaEn"
"How do you get to school?","100026","How do you go to school?","Listening"
"When do you go to school?","100026","How do you go to school?","Listening"
"Where do you go after school?","100026","How do you go to school?","Listening"
"Why do you go to school?","100026","How do you go to school?","Listening"
"What day is it today?","100027","How is the weather today?","ChoicesJaEn"
"It is hot today.","100027","How is the weather today?","ChoicesJaEn"
"It will be sunny tomorrow.","100027","How is the weather today?","ChoicesJaEn"
"It was rainy yesterday.","100027","How is the weather today?","ChoicesJaEn"
